stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200292,"VICTORY BL/BAY ST",,  40.637833, -74.076744,,,0,
200293,"VICTORY BL/MONTGOMERY AV",,  40.638081, -74.077682,,,0,
200297,"CASTLETON AV/CEBRA AV",,  40.634636, -74.086739,,,0,
200298,"CASTLETON AV/GLEN AV",,  40.633091, -74.089989,,,0,
200299,"CASTLETON AV/HARBOR VIEW CT",,  40.633415, -74.092178,,,0,
200300,"CASTLETON AV/HAVENWOOD RD",,  40.633236, -74.095413,,,0,
200301,"CASTLETON AV/BRIGHTON AV",,  40.634045, -74.097664,,,0,
200302,"CASTLETON AV/N RANDALL AV",,  40.634228, -74.099762,,,0,
200303,"CASTLETON AV/CONYINGHAM AV",,  40.634644, -74.102074,,,0,
200304,"CASTLETON AV/KISSEL AV",,  40.634762, -74.105026,,,0,
200306,"CASTLETON AV/BARD AV",,  40.634804, -74.106293,,,0,
200307,"CASTLETON AV/DAVIS AV",,  40.634777, -74.108559,,,0,
200308,"CASTLETON AV/BEMENT AV",,  40.634792, -74.111839,,,0,
200309,"CASTLETON AV/N BURGHER AV",,  40.634811, -74.114410,,,0,
200310,"CASTLETON AV/BROADWAY",,  40.634598, -74.117661,,,0,
200311,"CASTLETON AV/CAROLINE ST",,  40.634487, -74.119278,,,0,
200312,"CASTLETON AV/BARKER ST",,  40.634239, -74.121613,,,0,
200313,"CASTLETON AV/TAYLOR ST",,  40.634106, -74.123444,,,0,
200314,"CASTLETON AV/CLOVE RD",,  40.633919, -74.125847,,,0,
200315,"CASTLETON AV/JEWETT AV",,  40.633850, -74.129761,,,0,
200316,"CASTLETON AV/HEBERTON AV",,  40.635010, -74.132408,,,0,
200317,"CASTLETON AV/PORT RICHMOND AV",,  40.636051, -74.134819,,,0,
200318,"CASTLETON AV/SHARPE AV",,  40.636162, -74.137703,,,0,
200319,"CASTLETON AV/NICHOLAS AV",,  40.636238, -74.139946,,,0,
200320,"NICHOLAS AV/CHARLES AV",,  40.635300, -74.140701,,,0,
200322,"INNIS ST/ST JOSEPH AV",,  40.633781, -74.142540,,,0,
200323,"INNIS ST/EATON PL",,  40.634502, -74.144638,,,0,
200327,"WALKER ST/PULASKI AV",,  40.631470, -74.148201,,,0,
200329,"WALKER ST/SIMONSON AV",,  40.631931, -74.152588,,,0,
200330,"WALKER ST/VAN PELT AV",,  40.632111, -74.155022,,,0,
200331,"LINDEN AV/VAN PELT AV",,  40.633873, -74.155556,,,0,
200332,"MAPLE PY/WALLOON ST",,  40.632725, -74.156616,,,0,
200333,"UNION AV/BRABANT ST",,  40.631653, -74.158302,,,0,
200334,"BRABANT ST/LOCKMAN AV",,  40.631737, -74.162109,,,0,
200335,"BRABANT ST/GRANDVIEW AV",,  40.632202, -74.165085,,,0,
200340,"RICHMOND RD/ENFIELD PL",,  40.576202, -74.126060,,,0,
200341,"RICHMOND RD/MC CULLY AV",,  40.574684, -74.129570,,,0,
200342,"RICHMOND RD/HITCHCOCK AV",,  40.574024, -74.131294,,,0,
200343,"RICHMOND RD/WILDER AV",,  40.573196, -74.134987,,,0,
200350,"ARTHUR KILL RD/CENTER ST",,  40.571815, -74.147224,,,0,
200357,"GIFFORDS LA/BARLOW AV",,  40.559074, -74.153854,,,0,
200358,"GIFFORDS LA/LEVERETTE AV",,  40.557034, -74.152946,,,0,
200359,"GIFFORDS LA/WOODLAND AV",,  40.555302, -74.152176,,,0,
200361,"NELSON AV/AMBOY RD",,  40.550037, -74.150986,,,0,
200362,"NELSON AV/BELDEN ST",,  40.547199, -74.149918,,,0,
